order_id,customer_name,expected_gross_amount,invoice_date,currency
order_R100069,Pooja Chawla,8425.07,2026-08-08,INR
order_R100059,Sneha Iyer,11876.98,2026-08-22,INR
order_R100045,Siddharth Joshi,2195.71,2026-08-18,INR
order_R100029,Vikram Singh,18801.84,2026-08-14,INR
order_R100036,Vikram Singh,16203.56,2026-08-04,INR
order_R100017,Karan Mehta,21455.28,2026-08-04,INR
order_R100018,Ananya Rao,11608.55,2026-08-12,INR
order_R100028,Karan Mehta,3920.94,2026-08-18,INR
order_R100046,Arjun Reddy,12144.42,2026-08-18,INR
order_R100024,Karan Mehta,20634.16,2026-08-11,INR
order_R100043,Sneha Iyer,24640.37,2026-08-10,INR
order_R100002,Priya Nair,6499.85,2026-08-05,INR
order_R100068,Rohit Verma,16802.54,2026-08-03,INR
order_R100071,Rahul Desai,542.03,2026-08-07,INR
order_R100025,Ananya Rao,2121.62,2026-08-19,INR
order_R100001,Karan Mehta,16165.96,2026-08-01,INR
order_R100061,Pooja Chawla,6641.89,2026-08-23,INR
order_R100055,Priya Nair,1477.3,2026-08-02,INR
order_R100015,Divya Menon,21611.82,2026-08-19,INR
order_R100010,Priya Nair,23951.72,2026-08-11,INR
order_R100032,Priya Nair,15872.43,2026-08-14,INR
order_R100040,Rohit Verma,16154.26,2026-08-20,INR
order_R100072,Vikram Singh,15789.38,2026-08-08,INR
order_R100053,Sneha Iyer,8166.09,2026-08-03,INR
order_R100037,Rahul Desai,4374.86,2026-08-01,INR
order_R100047,Divya Menon,26428.13,2026-08-14,INR
order_R100023,Sneha Iyer,5880.57,2026-08-11,INR
order_R100022,Arjun Reddy,9796.66,2026-08-21,INR
order_R100007,Karan Mehta,10778.24,2026-08-15,INR
order_R100009,Sneha Iyer,10854.05,2026-08-09,INR
order_R100030,Isha Kapoor,9368.91,2026-08-05,INR
order_R100058,Sneha Iyer,13294.55,2026-08-23,INR
order_R100027,Karan Mehta,22906.42,2026-08-15,INR
order_R100044,Pooja Chawla,22011.24,2026-08-03,INR
order_R100003,Neha Gupta,17079.14,2026-08-18,INR
order_R100041,Neha Gupta,9660.89,2026-08-06,INR
order_R100008,Divya Menon,20331.05,2026-08-01,INR
order_R100026,Rahul Desai,5709.35,2026-08-16,INR
order_R100016,Priya Nair,2204.1,2026-08-08,INR
order_R100042,Rahul Desai,8441.82,2026-08-01,INR
order_R100039,Pooja Chawla,22859.38,2026-08-21,INR
order_R100005,Arjun Reddy,6200.19,2026-08-20,INR
order_R100012,Isha Kapoor,6980.76,2026-08-02,INR
order_R100006,Arjun Reddy,5371.52,2026-08-21,INR
order_R100051,Neha Gupta,8941.36,2026-08-03,INR
order_R100056,Isha Kapoor,7955.26,2026-08-09,INR
order_R100011,Neha Gupta,9808.22,2026-08-12,INR
order_R100034,Siddharth Joshi,6659.65,2026-08-18,INR
order_R100033,Arjun Reddy,9926.8,2026-08-20,INR
order_R100031,Rohit Verma,2727.28,2026-08-02,INR
order_R100066,Isha Kapoor,5931.63,2026-08-08,INR
order_R100057,Rahul Desai,3606.43,2026-08-05,INR
order_R100060,Ananya Rao,1867.72,2026-08-22,INR
order_R100021,Isha Kapoor,4692.9,2026-08-08,INR
order_R100065,Rohit Verma,4236.01,2026-08-18,INR
order_R100067,Arjun Reddy,16256.43,2026-08-18,INR
order_R100035,Manish Agarwal,18157.68,2026-08-18,INR
order_R100049,Priya Nair,10728.06,2026-08-21,INR
order_R100038,Arjun Reddy,18132.18,2026-08-17,INR
order_R100004,Sneha Iyer,10837.08,2026-08-01,INR
order_R100014,Rahul Desai,7682.87,2026-08-21,INR
order_R100019,Rahul Desai,9204.13,2026-08-09,INR
order_R100013,Arjun Reddy,13637.59,2026-08-13,INR
order_R100020,Siddharth Joshi,17246.92,2026-08-03,INR
order_R100070,Vikram Singh,8320.29,2026-08-01,INR
